Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Savings,2025-11-10 17:04:58,2025-11-10 17:04:58,To pocket EUR Monthly from EUR,100.00,0.00,EUR,COMPLETED,100.00
Card Payment,Savings,2025-11-11 19:16:35,2025-11-12 11:20:57,Netto Marken-Discount,-17.62,0.00,EUR,COMPLETED,82.38
Card Payment,Savings,2025-11-11 19:54:45,2025-11-12 11:21:09,Netto Marken-Discount,-1.68,0.00,EUR,COMPLETED,80.70
Card Payment,Savings,2025-11-15 19:15:33,2025-11-16 11:57:22,dm drogerie,-26.60,0.00,EUR,COMPLETED,54.10
Card Payment,Savings,2025-11-17 15:56:42,2025-11-18 12:32:12,Woolworth,-9.00,0.00,EUR,COMPLETED,45.10
Card Payment,Savings,2025-11-18 18:00:37,2025-11-19 13:17:05,Rothenbuehl Apotheke,-6.25,0.00,EUR,COMPLETED,38.85
Card Payment,Savings,2025-11-20 16:22:57,2025-11-21 09:39:57,Trento Eiscafé,-2.00,0.00,EUR,COMPLETED,36.85
Card Payment,Savings,2025-11-22 23:15:15,2025-11-25 13:16:05,Restaurant Gaststaetten,-4.50,0.00,EUR,COMPLETED,32.35
Card Payment,Savings,2025-11-24 12:12:40,2025-11-26 09:34:43,Amazon,-29.99,0.00,EUR,COMPLETED,2.36
Card Payment,Savings,2025-11-27 12:07:04,2025-11-28 10:43:50,Netto Marken-Discount,-0.90,0.00,EUR,COMPLETED,1.46
Transfer,Savings,2025-11-28 14:56:38,2025-11-28 14:56:38,To pocket EUR Monthly from EUR,200.00,0.00,EUR,COMPLETED,201.46
Card Payment,Savings,2025-12-02 17:42:21,2025-12-03 11:35:30,Maison BEHR,-3.80,0.00,EUR,COMPLETED,197.66
Card Payment,Savings,2025-12-02 21:04:18,2025-12-03 12:18:54,Au Sirop Derable,-10.80,0.00,EUR,COMPLETED,186.86
Card Payment,Savings,2025-12-03 17:08:51,2025-12-04 13:22:51,Primark,-12.00,0.00,EUR,COMPLETED,174.86
Card Payment,Savings,2025-12-03 17:48:25,2025-12-04 13:56:42,ALDI,-6.03,0.00,EUR,COMPLETED,168.83
Card Payment,Savings,2025-12-04 12:24:43,2025-12-05 12:40:16,Campusmarkt,-0.32,0.00,EUR,COMPLETED,168.51
Card Payment,Savings,2025-12-08 19:33:43,2025-12-09 11:05:11,Netto Marken-Discount,-1.19,0.00,EUR,COMPLETED,167.32
Transfer,Savings,2025-12-20 17:26:52,2025-12-20 17:26:52,Transfer to VENJALIN RAVINDRAN,-23.00,0.00,EUR,COMPLETED,144.32
Transfer,Savings,2025-12-23 23:41:28,2025-12-23 23:41:28,Transfer to MOHAMMED ESAM SALEH HALBOUP,-140.00,0.00,EUR,COMPLETED,4.32
Card Payment,Savings,2025-12-28 15:17:42,2025-12-29 12:20:01,Getsafe,-3.15,0.00,EUR,COMPLETED,1.17
Transfer,Savings,2026-01-07 17:13:43,2026-01-07 17:13:43,To pocket EUR Monthly from EUR,100.00,0.00,EUR,COMPLETED,101.17
Card Payment,Savings,2026-01-12 17:31:41,2026-01-13 12:36:56,EuroShop,-2.00,0.00,EUR,COMPLETED,99.17
Card Payment,Savings,2026-01-12 17:41:35,2026-01-13 12:56:03,ALDI,-2.89,0.00,EUR,COMPLETED,96.28
Transfer,Savings,2026-01-20 17:58:18,2026-01-20 17:58:18,Pocket Withdrawal,-50.00,0.00,EUR,COMPLETED,46.28
Transfer,Savings,2026-01-20 17:58:37,2026-01-20 17:58:37,To pocket EUR Monthly from EUR,100.00,0.00,EUR,COMPLETED,146.28
Card Payment,Savings,2026-01-20 17:58:49,2026-01-21 11:09:10,Amazon,-127.40,0.00,EUR,COMPLETED,18.88
Card Payment,Savings,2026-01-21 14:31:05,2026-01-22 09:56:26,iCoffee,-2.50,0.00,EUR,COMPLETED,16.38
Card Payment,Savings,2026-01-23 23:09:22,2026-01-24 12:58:38,Burger King,-4.78,0.00,EUR,COMPLETED,11.60
Card Payment,Savings,2026-01-24 18:51:50,2026-01-25 12:34:29,ALDI SÜD,-1.38,0.00,EUR,COMPLETED,10.22
Transfer,Savings,2026-01-28 17:37:19,2026-01-28 17:37:19,Pocket Withdrawal,-7.07,0.00,EUR,COMPLETED,3.15
Card Payment,Savings,2026-01-28 15:11:06,2026-01-29 09:51:42,Getsafe,-3.15,0.00,EUR,COMPLETED,0.00
Transfer,Savings,2026-01-30 18:06:42,2026-01-30 18:06:42,To pocket EUR Monthly from EUR,6.33,0.00,EUR,COMPLETED,6.33
Transfer,Savings,2026-01-30 18:10:50,2026-01-30 18:10:50,Pocket Withdrawal,-6.33,0.00,EUR,COMPLETED,0.00
Transfer,Savings,2026-01-30 18:11:00,2026-01-30 18:11:00,To pocket EUR Monthly from EUR,120.00,0.00,EUR,COMPLETED,120.00
Card Payment,Savings,2026-01-31 17:28:51,2026-02-02 10:25:29,Kaufland,-7.12,0.00,EUR,COMPLETED,112.88
Transfer,Savings,2026-02-04 20:19:15,2026-02-04 20:19:16,Transfer to MOHAMMED ESAM SALEH HALBOUP,-28.50,0.00,EUR,COMPLETED,84.38
Card Payment,Savings,2026-02-04 21:12:01,2026-02-05 12:33:05,Burger King,-7.17,0.00,EUR,COMPLETED,77.21
Card Payment,Savings,2026-02-05 15:01:17,2026-02-06 10:54:21,Kfc,-29.48,0.00,EUR,COMPLETED,47.73
Transfer,Savings,2026-02-07 01:10:22,2026-02-07 01:10:22,Transfer to MOHAMMED ESAM SALEH HALBOUP,-5.93,0.00,EUR,COMPLETED,41.80
Card Payment,Savings,2026-02-06 17:47:05,2026-02-07 10:09:46,DZ Markt,-4.82,0.00,EUR,COMPLETED,36.98
Card Payment,Savings,2026-02-06 16:41:01,2026-02-07 13:45:05,Asia Market,-25.82,0.00,EUR,COMPLETED,11.16
Card Payment,Savings,2026-02-06 15:49:20,2026-02-07 13:46:34,Netto Marken-Discount,-0.54,0.00,EUR,COMPLETED,10.62
Card Payment,Savings,2026-02-09 15:39:54,2026-02-10 13:34:42,iCoffee,-2.90,0.00,EUR,COMPLETED,7.72
Card Payment,Savings,2026-02-12 06:30:15,2026-02-13 11:35:44,Barbarossa Bäckerei,-4.60,0.00,EUR,COMPLETED,3.12
Card Payment,Savings,2026-02-19 11:14:04,2026-02-20 17:20:33,Campusmarkt,-2.50,0.00,EUR,COMPLETED,0.62
Transfer,Savings,2026-02-28 10:15:44,2026-02-28 10:15:44,Pocket Withdrawal,-0.62,0.00,EUR,COMPLETED,0.00
Transfer,Savings,2026-05-23 22:08:20,2026-05-23 22:08:20,To pocket EUR Monthly from EUR,50.00,0.00,EUR,COMPLETED,50.00
Transfer,Savings,2026-05-25 11:21:02,2026-05-25 11:21:02,To pocket EUR Monthly from EUR,11.77,0.00,EUR,COMPLETED,61.77
Card Payment,Savings,2026-05-23 22:13:17,2026-05-27 13:04:00,Amazon,-43.89,0.00,EUR,COMPLETED,17.88
Card Payment,Savings,2026-05-26 13:42:22,2026-05-27 16:08:46,Campusmarkt,-0.66,0.00,EUR,COMPLETED,17.22
Card Payment,Savings,2026-06-15 12:39:28,2026-06-16 10:31:41,Campusmarkt,-0.45,0.00,EUR,COMPLETED,16.77
Card Payment,Savings,2026-06-26 14:51:53,2026-06-27 10:26:00,Lidl,-3.94,0.00,EUR,COMPLETED,12.83
Transfer,Savings,2026-07-10 19:27:00,2026-07-10 19:27:00,Pocket Withdrawal,-12.83,0.00,EUR,COMPLETED,0.00
Transfer,Savings,2026-07-10 19:28:59,2026-07-10 19:28:59,To pocket EUR Monthly from EUR,20.00,0.00,EUR,COMPLETED,20.00
Card Payment,Savings,2026-07-15 19:53:53,2026-07-16 11:17:46,Da Ma Bistro G,-7.50,0.00,EUR,COMPLETED,12.50
Transfer,Savings,2026-08-02 22:03:15,2026-08-02 22:03:15,Pocket Withdrawal,-12.50,0.00,EUR,COMPLETED,0.00
